Iraq,2.7 [1.5-4.3],2.8 [1.5-4.3]
Ireland,0.8 [0.4-1.4],0.8 [0.4-1.4]
Israel,0.9 [0.4-1.7],0.9 [0.5-1.7]
Italy,0.8 [0.5-1.3],0.8 [0.5-1.3]
Jamaica,4.1 [2.4-6.4],4.3 [2.6-6.5]
Japan,7.0 [5.1-9.4],7.0 [5.2-9.2]
Jordan,1.4 [0.8-2.2],1.5 [0.9-2.2]
Kazakhstan,2.8 [1.6-4.4],2.9 [1.7-4.5]
Kenya,11.9 [7.8-16.7],12.1 [8.1-16.8]
Kiribati,0.8 [0.3-1.6],0.8 [0.3-1.7]
Kuwait,1.0 [0.6-1.6],1.0 [0.6-1.6]
Kyrgyzstan,3.4 [1.8-5.6],3.5 [1.9-5.7]
Laos,11.6 [7.6-16.2],11.9 [8.0-16.5]
Latvia,1.3 [0.5-2.6],1.3 [0.5-2.6]
Lebanon,2.0 [1.0-3.4],2.0 [1.1-3.4]
Lesotho,8.6 [5.5-12.3],8.8 [5.8-12.5]
Liberia,8.6 [5.3-12.6],8.7 [5.5-12.7]
Libya,2.0 [1.0-3.5],2.1 [1.1-3.6]
Lithuania,0.8 [0.4-1.6],0.9 [0.4-1.6]
Luxembourg,1.1 [0.4-2.2],1.1 [0.4-2.2]
Madagascar,14.6 [9.8-20.0],14.8 [10.0-20.0]
Malawi,11.3 [7.1-16.1],11.5 [7.3-16.2]
Malaysia,6.6 [4.7-9.1],6.9 [5.0-9.3]
Maldives,9.4 [5.9-13.9],9.8 [6.3-14.2]
Mali,10.7 [6.8-15.1],10.8 [7.0-15.3]
Malta,0.7 [0.3-1.6],0.7 [0.3-1.6]
Marshall Islands,0.5 [0.2-1.0],0.5 [0.2-1.0]
Mauritania,9.0 [5.4-13.7],9.2 [5.5-13.7]
Mauritius,7.8 [4.7-11.8],7.9 [4.8-11.7]
Mexico,1.4 [0.9-2.1],1.5 [1.0-2.1]
Micronesia (Federated States of),1.2 [0.6-2.1],1.3 [0.6-2.2]
Monaco,No data,No data
Mongolia,2.4 [1.4-3.9],2.5 [1.5-4.0]
Montenegro,1.3 [0.5-2.9],1.3 [0.5-2.9]
Morocco,3.2 [1.7-5.3],3.3 [1.8-5.5]
Mozambique,11.5 [7.6-16.0],11.6 [7.8-16.1]
Myanmar,14.2 [10.1-19.0],14.5 [10.5-19.2]
Namibia,10.1 [6.6-14.4],10.3 [6.8-14.6]
Nauru,0.2 [0.1-0.4],0.2 [0.1-0.4]
Nepal,16.8 [12.7-21.2],17.1 [13.2-21.4]
Netherlands,0.9 [0.5-1.5],1.0 [0.6-1.5]
New Zealand,1.0 [0.6-1.5],1.0 [0.7-1.5]
Nicaragua,2.5 [1.3-4.3],2.6 [1.4-4.3]
Niger,13.4 [8.8-18.7],13.5 [9.1-18.7]
Nigeria,10.5 [7.6-14.0],10.7 [7.8-14.1]
Niue,0.5 [0.2-1.0],0.5 [0.2-1.0]
Norway,1.0 [0.6-1.7],1.0 [0.6-1.7]
Oman,4.0 [2.4-6.2],4.3 [2.6-6.4]
Pakistan,15.0 [11.0-19.8],15.4 [11.4-20.1]
Palau,0.4 [0.2-1.0],0.5 [0.2-1.0]
Panama,2.3 [1.3-3.8],2.4 [1.3-3.9]
Papua New Guinea,2.6 [1.2-4.7],2.6 [1.2-4.8]
Paraguay,2.1 [0.9-4.1],2.2 [0.9-4.1]
Peru,1.3 [0.9-1.9],1.4 [0.9-1.9]
Philippines,12.3 [8.5-16.6],12.5 [8.9-16.6]
Poland,1.3 [0.8-2.0],1.4 [0.9-2.1]
Portugal,0.9 [0.5-1.7],0.9 [0.5-1.7]
Qatar,1.3 [0.6-2.3],1.3 [0.7-2.4]
South Korea,3.9 [2.9-5.2],4.0 [3.0-5.1]
Moldova,1.7 [0.8-3.2],1.8 [0.9-3.3]
Romania,1.3 [0.7-2.3],1.4 [0.7-2.4]
Russia,1.4 [0.8-2.2],1.5 [0.9-2.2]
Rwanda,9.7 [6.4-13.6],9.9 [6.6-13.7]
Saint Kitts and Nevis,3.3 [1.5-5.9],3.4 [1.6-6.0]
Saint Lucia,4.5 [2.3-7.4],4.6 [2.5-7.6]
Saint Vincent and the Grenadines,3.6 [1.6-6.6],3.7 [1.7-6.8]
Samoa,0.4 [0.1-0.7],0.4 [0.2-0.7]
San Marino,No data,No data
Sao Tome and Principe,7.7 [4.5-11.8],7.9 [4.8-11.9]
Saudi Arabia,2.0 [1.2-2.9],2.1 [1.3-3.0]
Senegal,12.0 [7.9-16.8],12.1 [8.2-16.9]
Serbia,1.5 [0.8-2.6],1.5 [0.8-2.6]
Seychelles,6.1 [3.5-9.6],6.2 [3.7-9.6]
Sierra Leone,10.4 [6.7-14.7],10.6 [6.9-14.9]
Singapore,5.9 [3.8-8.6],5.9 [3.9-8.5]
Slovakia,1.4 [0.7-2.5],1.4 [0.7-2.5]
Slovenia,1.4 [0.5-3.1],1.4 [0.6-3.1]
Solomon Islands,1.9 [1.0-3.2],1.9 [1.0-3.3]
Somalia,11.2 [6.5-17.2],11.4 [6.7-17.3]
South Africa,4.8 [3.4-6.6],5.0 [3.5-6.7]
South Sudan,No data,No data
Spain,0.6 [0.4-1.0],0.6 [0.4-1.0]
Sri Lanka,13.9 [9.6-18.8],14.1 [10.0-18.9]
Sudan,No data,No data
Sudan (former),10.0 [5.8-15.1],10.1 [6.0-15.1]
Suriname,3.3 [1.7-5.5],3.3 [1.8-5.6]
Sweden,1.1 [0.6-1.9],1.2 [0.6-1.9]
Switzerland,1.9 [1.0-3.4],1.9 [1.0-3.3]
Syria,2.9 [1.5-5.0],3.0 [1.5-5.1]
Tajikistan,4.3 [2.4-6.9],4.4 [2.5-7.1]
Thailand,8.3 [5.3-12.0],8.6 [5.6-12.2]
Macedonia,1.3 [0.5-2.8],1.4 [0.5-2.8]
Timor-Leste,16.9 [12.1-22.2],17.2 [12.4-22.4]
Togo,9.9 [6.3-14.5],10.1 [6.5-14.6]
Tonga,0.4 [0.1-0.7],0.4 [0.2-0.7]
Trinidad and Tobago,3.5 [1.6-6.6],3.7 [1.7-6.7]
Tunisia,3.1 [1.7-5.0],3.2 [1.9-5.1]
Turkey,1.4 [0.9-2.1],1.5 [1.0-2.1]
Turkmenistan,3.1 [1.6-5.3],3.2 [1.7-5.4]
Tuvalu,0.4 [0.1-0.9],0.4 [0.2-0.9]
Uganda,11.4 [7.9-15.4],11.6 [8.1-15.5]
Ukraine,1.2 [0.4-2.8],1.3 [0.5-2.8]
United Arab Emirates,1.7 [0.9-3.0],1.8 [1.0-3.2]
United Kingdom,1.0 [0.7-1.4],1.1 [0.8-1.4]
Tanzania,11.3 [7.8-15.2],11.5 [8.1-15.3]
United States,1.1 [0.7-1.7],1.1 [0.8-1.7]
Uruguay,1.0 [0.5-1.8],1.0 [0.5-1.8]
Uzbekistan,3.4 [1.9-5.7],3.6 [2.0-5.8]
Vanuatu,2.2 [1.1-3.7],2.2 [1.1-3.8]
Venezuela,1.5 [0.8-2.4],1.5 [0.9-2.4]
Vietnam,17.5 [13.4-21.7],17.9 [14.0-22.0]
Yemen,7.7 [5.0-11.0],7.9 [5.3-11.1]
Zambia,11.5 [7.5-16.2],11.7 [7.7-16.3]
Zimbabwe,8.6 [5.6-12.0],8.7 [5.8-12.1]
